-457, -252, -17054, -3, -73, 19
-428, -236, -17079, -5, -41, 24
-446, -247, -17080, 11, -52, 26
-455, -258, -17055, -7, -64, 19
-458, -246, -17059, -1, -45, 24
-461, -252, -17065, 12, -50, 22
-450, -259, -17044, -9, -55, 26
-454, -271, -17036, 3, -64, 24
-451, -265, -17078, -8, -30, 28
-446, -243, -17063, -3, -50, 21
-442, -253, -17079, -5, -51, 27
-447, -258, -17071, 3, -41, 21
-428, -241, -17066, 5, -65, 22
-467, -252, -17064, 1, -81, 23
-439, -252, -17062, -8, -35, 25
-458, -255, -17044, 5, -44, 30
-444, -257, -17064, -4, -68, 23
-441, -252, -17056, 5, -55, 23
-461, -254, -17054, -7, -24, 34
-448, -265, -17061, 4, -75, 17
-430, -239, -17056, -4, -68, 14
-440, -266, -17087, -6, -35, 32
-430, -247, -17070, -2, -48, 25
-450, -248, -17048, 1, -72, 16
-440, -261, -17088, -15, 2, 41
-432, -233, -17081, 1, -70, 22
-451, -247, -17079, 3, -84, 12
-438, -243, -17073, -16, -19, 33
-436, -231, -17065, 4, -48, 18
-447, -259, -17058, -2, -65, 20
-443, -257, -17054, -2, -74, 17
-455, -241, -17058, -5, -17, 32
-459, -269, -17050, 4, -72, 18
-462, -257, -17053, -9, -43, 20
-442, -254, -17070, 2, -39, 22
-458, -260, -17072, -2, -77, 22
-432, -244, -17078, -7, -30, 28
-451, -253, -17073, 6, -40, 28
-451, -258, -17073, -9, -52, 29
-442, -241, -17056, 4, -89, 13
-453, -262, -17071, -3, -29, 33
-447, -236, -17048, -4, -64, 17
-437, -253, -17074, -3, -34, 37
-452, -260, -17060, -6, -35, 26
-427, -246, -17061, -3, -50, 29
-457, -261, -17077, 3, -44, 22
-448, -250, -17056, -12, -19, 33
-442, -249, -17090, -1, -67, 18
-449, -257, -17093, 5, -66, 23
-455, -231, -17030, -12, -41, 17
-398, -222, -17017, 3, -75, 24
-454, -271, -17043, -1, -34, 29
-442, -262, -17073, -1, -35, 27
-449, -250, -17097, 8, -62, 24
-443, -246, -17056, 11, -68, 16
-454, -252, -17068, -11, -28, 36
-446, -257, -17070, -5, -73, 20
-450, -258, -17088, -12, -61, 31
-441, -248, -17077, 7, -46, 26
-442, -251, -17054, -15, -36, 39
-437, -244, -17088, 0, -76, 15
-454, -260, -17065, -15, -27, 31
-444, -256, -17060, -2, -29, 37
-462, -254, -17056, 5, -82, 8
-475, -280, -17055, -3, -43, 25
-442, -257, -17072, -5, -32, 31
-454, -250, -17048, -5, -66, 25
